timestamp_s,frame,class,x1,y1,x2,y2,confidence
6.567,197,person,412,489,542,720,0.486
6.567,197,person,960,460,1028,600,0.475
6.6,198,bus,10,271,618,622,0.989
6.6,198,person,418,494,550,720,0.595
6.6,198,person,960,461,1028,603,0.452
6.633,199,bus,18,274,607,608,0.988
6.633,199,person,418,494,546,720,0.609
6.633,199,person,962,472,1028,605,0.448
6.667,200,bus,15,276,617,606,0.976
6.667,200,person,425,487,555,720,0.724
6.667,200,person,963,473,1027,603,0.446
6.7,201,bus,15,273,616,607,0.99
6.7,201,person,420,481,559,720,0.728
6.7,201,person,521,497,660,716,0.574
6.7,201,person,1234,495,1363,716,0.461
6.7,201,person,964,475,1025,606,0.454
6.733,202,bus,6,275,621,599,0.987
6.733,202,person,1235,480,1366,716,0.538
6.733,202,person,962,481,1025,611,0.508
6.733,202,person,426,487,554,717,0.418
6.767,203,bus,7,276,615,595,0.988
6.767,203,person,426,490,572,720,0.672
6.767,203,person,517,495,660,716,0.654
6.767,203,person,965,471,1029,612,0.56
6.767,203,person,1231,491,1363,719,0.407
6.8,204,bus,13,283,611,587,0.981
6.8,204,person,435,492,579,720,0.664
6.8,204,person,962,477,1029,616,0.602
6.8,204,person,521,492,655,716,0.504
6.833,205,bus,8,274,616,590,0.985
6.833,205,person,965,468,1029,611,0.579
6.833,205,person,517,491,654,719,0.497
6.833,205,person,1227,485,1364,720,0.492
6.833,205,person,437,484,583,720,0.458
6.867,206,bus,9,271,618,584,0.98
6.867,206,person,965,464,1029,613,0.67
6.867,206,person,425,480,588,719,0.647
6.867,206,person,1229,480,1363,719,0.618
6.867,206,person,508,491,657,714,0.45
6.867,206,person,821,430,877,572,0.423
6.9,207,bus,31,272,598,580,0.979
6.9,207,person,424,479,620,718,0.73
6.9,207,person,964,466,1030,610,0.652
6.9,207,person,1230,480,1360,720,0.58
6.9,207,person,500,500,657,720,0.417
6.9,207,person,829,434,883,576,0.415
6.933,208,bus,26,272,598,574,0.981
6.933,208,person,497,492,655,715,0.643
6.933,208,person,965,472,1030,612,0.633
6.933,208,person,1227,490,1357,718,0.452
6.933,208,person,439,483,615,719,0.449
6.967,209,bus,24,272,581,567,0.981
6.967,209,person,965,475,1028,610,0.593
6.967,209,person,480,487,658,714,0.54
6.967,209,person,1230,483,1356,718,0.475
7.0,210,bus,22,271,576,562,0.98
7.0,210,person,507,486,656,714,0.575
7.0,210,person,1231,476,1357,718,0.564
7.0,210,person,965,467,1029,607,0.545
7.033,211,bus,17,274,584,562,0.986
7.033,211,person,509,482,654,715,0.672
7.033,211,person,968,471,1029,599,0.507
7.033,211,person,1232,475,1355,716,0.458
7.067,212,bus,21,269,618,555,0.992
7.067,212,person,1232,476,1353,718,0.609
7.067,212,person,511,483,655,715,0.607
7.067,212,person,969,465,1030,592,0.449
7.1,213,bus,20,270,619,557,0.992
7.1,213,person,1232,475,1352,717,0.648
7.1,213,person,502,482,655,716,0.596
7.1,213,person,970,459,1031,587,0.49
7.133,214,bus,22,269,644,554,0.989
7.133,214,person,506,483,660,717,0.724
7.133,214,person,1232,476,1352,715,0.592
7.133,214,person,963,455,1028,591,0.436
7.167,215,bus,33,270,661,555,0.981
7.167,215,person,498,478,659,717,0.789
7.167,215,person,1235,476,1352,713,0.583
7.167,215,person,960,451,1024,590,0.477
7.2,216,bus,47,270,665,550,0.97
7.2,216,person,506,486,668,717,0.774
7.2,216,person,1233,472,1351,715,0.654
7.2,216,person,963,451,1023,587,0.519
7.233,217,bus,59,270,710,550,0.974
7.233,217,person,508,482,666,715,0.876
7.233,217,person,1235,476,1349,713,0.477
7.233,217,person,963,450,1026,587,0.476
7.267,218,bus,67,271,656,548,0.978
7.267,218,person,507,477,668,716,0.946
7.267,218,person,1234,481,1348,713,0.451
7.3,219,bus,79,270,683,543,0.964
7.3,219,person,509,462,674,714,0.94
7.3,219,person,1231,480,1344,714,0.453
7.3,219,person,962,459,1030,589,0.415
7.333,220,bus,88,270,644,544,0.958
7.333,220,person,511,472,679,716,0.884
7.333,220,person,1235,479,1343,712,0.415
7.367,221,bus,93,271,626,538,0.973
7.367,221,person,520,483,678,717,0.722
7.4,222,bus,63,273,615,531,0.969
7.4,222,person,520,496,677,718,0.742
7.4,222,person,1222,479,1337,714,0.468
7.4,222,bus,281,281,658,540,0.417
7.433,223,bus,85,273,619,530,0.946
7.433,223,person,522,485,687,716,0.445
7.467,224,bus,66,273,627,529,0.968
7.467,224,person,1219,481,1335,715,0.546
7.467,224,person,521,504,678,720,0.491
7.467,224,bus,301,268,684,532,0.465
7.467,224,person,637,475,703,622,0.415
7.5,225,bus,103,273,624,528,0.952
7.5,225,person,1217,484,1336,715,0.571
7.5,225,person,627,442,710,636,0.409
7.533,226,bus,117,272,654,527,0.958
7.533,226,person,1201,485,1336,717,0.658
7.567,227,bus,103,272,663,525,0.958
7.567,227,person,1199,482,1335,716,0.675
7.6,228,bus,175,273,672,525,0.94
7.6,228,person,1202,485,1334,716,0.585
7.6,228,person,700,481,753,601,0.422
7.633,229,bus,110,275,697,525,0.957
7.633,229,person,1200,483,1335,714,0.686
7.667,230,bus,187,278,686,515,0.908
7.667,230,person,1212,481,1334,709,0.527
7.7,231,bus,172,278,710,512,0.864
7.7,231,person,1215,480,1333,706,0.442
7.7,231,person,656,436,721,623,0.418
7.733,232,bus,210,278,727,512,0.92
7.733,232,person,701,461,759,598,0.425
7.767,233,bus,246,280,718,508,0.948
7.8,234,bus,255,281,683,509,0.931
7.833,235,bus,244,282,658,509,0.939
7.833,235,person,1218,474,1332,708,0.486
7.867,236,bus,221,283,660,511,0.921
7.867,236,person,1212,470,1333,707,0.602
7.9,237,bus,232,287,707,504,0.946
7.9,237,person,1213,473,1336,705,0.605
7.9,237,person,698,449,755,598,0.451
7.933,238,bus,253,284,680,506,0.943
7.933,238,person,1216,473,1333,702,0.503
7.967,239,bus,243,286,680,501,0.954
8.0,240,bus,254,277,665,504,0.927
